,C/A,UNIT,SCP,STATION,DATE,ENTRIES_CUM_AM,ENTRIES_CUM_PM,ENTRIES,DAY_WEEK,MEDIAN,OUTLIER,~OUTLIER
2,A006,R079,00-00-00,5 AV/59 ST,2021-06-03,4468403.0,4467193,1210.0,3,1102.0,False,True
3,A006,R079,00-00-00,5 AV/59 ST,2021-06-04,4468830.0,4467845,985.0,4,1102.0,False,True
4,A006,R079,00-00-00,5 AV/59 ST,2021-06-05,4469137.0,4468459,678.0,5,1102.0,False,True
9,A006,R079,00-00-00,5 AV/59 ST,2021-06-10,4472398.0,4471099,1299.0,3,1102.0,False,True
10,A006,R079,00-00-00,5 AV/59 ST,2021-06-11,4472806.0,4471752,1054.0,4,1102.0,False,True
11,A006,R079,00-00-00,5 AV/59 ST,2021-06-12,4473123.0,4472445,678.0,5,1102.0,False,True
16,A006,R079,00-00-00,5 AV/59 ST,2021-06-17,4476820.0,4475348,1472.0,3,1102.0,False,True
17,A006,R079,00-00-00,5 AV/59 ST,2021-06-18,4477220.0,4476148,1072.0,4,1102.0,False,True
18,A006,R079,00-00-00,5 AV/59 ST,2021-06-19,4477529.0,4476870,659.0,5,1102.0,False,True
23,A006,R079,00-00-00,5 AV/59 ST,2021-06-24,4481267.0,4479828,1439.0,3,1102.0,False,True
24,A006,R079,00-00-00,5 AV/59 ST,2021-06-25,4481793.0,4480599,1194.0,4,1102.0,False,True
25,A006,R079,00-00-00,5 AV/59 ST,2021-06-26,4482153.0,4481348,805.0,5,1102.0,False,True
30,A006,R079,00-00-00,5 AV/59 ST,2021-07-01,4485686.0,4484392,1294.0,3,1102.0,False,True
31,A006,R079,00-00-00,5 AV/59 ST,2021-07-02,4486121.0,4485089,1032.0,4,1102.0,False,True
32,A006,R079,00-00-00,5 AV/59 ST,2021-07-03,4486510.0,4485748,762.0,5,1102.0,False,True
37,A006,R079,00-00-00,5 AV/59 ST,2021-07-08,4489826.0,4488432,1394.0,3,1102.0,False,True
38,A006,R079,00-00-00,5 AV/59 ST,2021-07-09,4490356.0,4489188,1168.0,4,1102.0,False,True
39,A006,R079,00-00-00,5 AV/59 ST,2021-07-10,4490712.0,4489897,815.0,5,1102.0,False,True
44,A006,R079,00-00-00,5 AV/59 ST,2021-07-15,4494497.0,4493060,1437.0,3,1102.0,False,True
45,A006,R079,00-00-00,5 AV/59 ST,2021-07-16,4494954.0,4493846,1108.0,4,1102.0,False,True
46,A006,R079,00-00-00,5 AV/59 ST,2021-07-17,4495346.0,4494569,777.0,5,1102.0,False,True
51,A006,R079,00-00-00,5 AV/59 ST,2021-07-22,4499162.0,4497674,1488.0,3,1102.0,False,True
52,A006,R079,00-00-00,5 AV/59 ST,2021-07-23,4499717.0,4498524,1193.0,4,1102.0,False,True
53,A006,R079,00-00-00,5 AV/59 ST,2021-07-24,4500136.0,4499236,900.0,5,1102.0,False,True
58,A006,R079,00-00-00,5 AV/59 ST,2021-07-29,4503838.0,4502460,1378.0,3,1102.0,False,True
59,A006,R079,00-00-00,5 AV/59 ST,2021-07-30,4504362.0,4503194,1168.0,4,1102.0,False,True
60,A006,R079,00-00-00,5 AV/59 ST,2021-07-31,4504787.0,4503909,878.0,5,1102.0,False,True
65,A006,R079,00-00-00,5 AV/59 ST,2021-08-05,4508465.0,4507069,1396.0,3,1102.0,False,True
66,A006,R079,00-00-00,5 AV/59 ST,2021-08-06,4509005.0,4507829,1176.0,4,1102.0,False,True
67,A006,R079,00-00-00,5 AV/59 ST,2021-08-07,4509395.0,4508565,830.0,5,1102.0,False,True
72,A006,R079,00-00-00,5 AV/59 ST,2021-08-12,4512895.0,4511601,1294.0,3,1102.0,False,True
73,A006,R079,00-00-00,5 AV/59 ST,2021-08-13,4513348.0,4512310,1038.0,4,1102.0,False,True
74,A006,R079,00-00-00,5 AV/59 ST,2021-08-14,4513748.0,4512974,774.0,5,1102.0,False,True
79,A006,R079,00-00-00,5 AV/59 ST,2021-08-19,4517331.0,4515982,1349.0,3,1102.0,False,True
80,A006,R079,00-00-00,5 AV/59 ST,2021-08-20,4517822.0,4516720,1102.0,4,1102.0,False,True
