BOROUGH,ZIP,# LICENSES
Manhattan,10019,288
Manhattan,10003,284
Manhattan,10036,254
Manhattan,10011,224
Manhattan,10014,210
Manhattan,10001,207
Manhattan,10002,205
Brooklyn,11211,201
Manhattan,10012,195
Manhattan,10022,186
Manhattan,10013,183
Manhattan,10016,182
Manhattan,10009,152
Manhattan,10018,141
Brooklyn,11201,141
Brooklyn,11215,140
Manhattan,10017,112
Brooklyn,11238,107
Brooklyn,11222,104
Manhattan,10003,104
Brooklyn,11217,98
Manhattan,10010,97
Manhattan,10036,92
Manhattan,10019,91
Manhattan,10021,91
Manhattan,10024,86
Brooklyn,11231,86
Manhattan,10014,86
Brooklyn,11237,86
Manhattan,10023,83
Brooklyn,11209,79
Manhattan,10028,76
Manhattan,10025,75
Brooklyn,11206,75
Manhattan,10001,73
Brooklyn,11211,70
Manhattan,10013,70
Brooklyn,11205,68
Manhattan,10128,67
Manhattan,10012,65
Manhattan,10038,61
Manhattan,10002,60
Brooklyn,11249,58
Manhattan,10022,58
Brooklyn,11220,57
Manhattan,10016,57
Manhattan,10004,54
Manhattan,10065,53
Manhattan,10027,49
Brooklyn,11235,49
Manhattan,10029,49
Manhattan,10034,48
Brooklyn,11201,47
Brooklyn,11216,47
Brooklyn,11221,47
Manhattan,10009,47
Manhattan,10018,46
Manhattan,10007,45
Manhattan,10011,45
Brooklyn,11215,44
Brooklyn,11232,44
Staten Is,10314,41
Brooklyn,11223,41
Manhattan,10017,40
Manhattan,10010,40
Bronx,10458,38
Brooklyn,11217,36
Manhattan,10031,35
Brooklyn,11238,34
Brooklyn,11220,34
Bronx,10461,34
Brooklyn,11237,34
Staten Is,10306,33
Manhattan,10075,33
Bronx,10465,32
Manhattan,10023,32
Manhattan,10021,32
Staten Is,10305,32
Brooklyn,11225,31
Manhattan,10024,31
Brooklyn,11222,31
Brooklyn,11234,31
Manhattan,10028,30
Manhattan,10026,30
Staten Is,10301,30
Brooklyn,11224,30
Brooklyn,11205,30
Manhattan,10040,30
Brooklyn,11226,29
Brooklyn,11231,27
Brooklyn,11214,27
Manhattan,10033,27
Brooklyn,11218,26
Manhattan,10025,26
Bronx,10462,26
Brooklyn,11207,25
Staten Is,10312,25
Bronx,10463,25
Staten Is,10308,24
Staten Is,10302,23
Manhattan,10006,23
Staten Is,10309,23
Manhattan,10032,23
Bronx,10464,22
Brooklyn,11209,22
Brooklyn,11229,21
Manhattan,10029,21
Bronx,10454,21
Staten Is,10304,20
Bronx,10461,20
Manhattan,10065,20
Bronx,10472,20
Brooklyn,11249,20
Bronx,10467,20
Bronx,10458,19
Brooklyn,11219,18
Bronx,10471,18
Staten Is,10310,18
Manhattan,10005,18
Bronx,10452,18
Bronx,10453,17
Manhattan,10128,17
Manhattan,10027,17
Bronx,10451,17
Brooklyn,11233,17
Brooklyn,11235,17
Bronx,10463,16
Manhattan,10004,16
Manhattan,10038,16
Brooklyn,11203,16
Bronx,10468,16
Brooklyn,11216,16
Staten Is,10307,15
Brooklyn,11221,14
Manhattan,10033,14
Staten Is,10309,14
Manhattan,10030,14
Brooklyn,11228,13
Manhattan,10034,13
Manhattan,10035,13
Brooklyn,11234,13
Bronx,10460,13
Manhattan,10020,13
Brooklyn,11232,13
Staten Is,10306,12
Brooklyn,11223,12
Brooklyn,11204,12
Brooklyn,11208,12
Manhattan,10007,12
Staten Is,10314,12
Bronx,10455,12
Brooklyn,11230,12
Manhattan,10281,11
Bronx,10466,11
Brooklyn,11204,11
Brooklyn,11226,11
Bronx,10469,11
Brooklyn,11214,11
Manhattan,10031,11
Bronx,10470,11
Brooklyn,11218,11
Manhattan,10032,10
Staten Is,10305,10
Brooklyn,11219,9
Bronx,10456,9
Staten Is,10303,9
Brooklyn,11229,9
Brooklyn,11213,9
Bronx,10457,9
Manhattan,10282,9
Bronx,10457,9
Manhattan,10040,9
Brooklyn,11225,9
Bronx,10475,9
Brooklyn,11206,9
Staten Is,10301,9
Manhattan,10075,8
Brooklyn,11207,8
Bronx,10459,8
Bronx,10465,8
Manhattan,10039,8
Bronx,10454,8
Bronx,10462,8
Bronx,10474,8
Staten Is,10308,7
Bronx,10451,7
Brooklyn,11236,7
Bronx,10453,7
Manhattan,10006,7
Brooklyn,11208,7
Bronx,10472,7
Bronx,10467,7
Manhattan,10281,6
Bronx,10452,6
Brooklyn,11239,6
Bronx,10468,6
Bronx,10470,6
Brooklyn,11233,6
Bronx,10464,6
Brooklyn,11210,6
Manhattan,10026,6
Brooklyn,11212,5
Brooklyn,11224,5
Brooklyn,11230,5
Staten Is,10307,5
Staten Is,10304,4
Brooklyn,11213,4
Staten Is,10312,4
Manhattan,10005,4
Manhattan,10169,4
Brooklyn,11203,4
Bronx,10471,4
Manhattan,10118,4
Bronx,10475,4
Brooklyn,11228,4
Bronx,10455,3
Manhattan,10035,3
Staten Is,10303,3
Bronx,10473,3
Manhattan,10280,3
Brooklyn,11212,3
Bronx,10460,2
Brooklyn,11210,2
Bronx,10459,2
Bronx,10474,2
Manhattan,10044,2
Bronx,10473,2
Manhattan,10069,2
Manhattan,10282,2
Manhattan,10105,2
Manhattan,10111,2
Manhattan,10169,2
Manhattan,10121,2
Manhattan,10020,2
Manhattan,10030,2
Manhattan,10044,2
Manhattan,10280,2
Manhattan,10285,2
Queens,11435,1
Staten Is,10302,1
Manhattan,10271,1
Manhattan,10175,1
Manhattan,10168,1
Manhattan,10120,1
Manhattan,10119,1
Bronx,104641102,1
Queens,11104,1
Manhattan,100011632,1
Queens,11694,1
Queens,11439,1
Queens,11421,1
Queens,11419,1
Queens,11385,1
Brooklyn,11239,1
Staten Is,10310,1
Manhattan,10314,1
Manhattan,014,1
Manhattan,100364005,1
Staten Is,103013701,1
Manhattan,100241103,1
Bronx,10469,1
Manhattan,100193811,1
Manhattan,100143730,1
Bronx,10466,1
Manhattan,100133761,1
Manhattan,100133486,1
Manhattan,100107418,1
Bronx,10456,1
Manhattan,10286,1
Manhattan,10463,1
Bronx,10402,1
Bronx,10037,1
Manhattan,100168132,1
Manhattan,10105,1
Manhattan,10112,1
Manhattan,100122423,1
Manhattan,10110,1
Manhattan,10104,1
Manhattan,100143205,1
Brooklyn,11438,1
Brooklyn,11245,1
Brooklyn,112209,1
Brooklyn,112203815,1
Brooklyn,112171662,1
Brooklyn,112053922,1
Manhattan,10037,1
Brooklyn,11323,1
Manhattan,10119,1
Manhattan,100114202,1
Manhattan,10123,1
Manhattan,10110,1
Manhattan,10151,1
Manhattan,10152,1
Manhattan,10158,1
Manhattan,10165,1
Manhattan,10111,1
Manhattan,10170,1
Manhattan,10171,1
Manhattan,10175,1
Manhattan,10176,1
Manhattan,10178,1
Manhattan,10271,1
Manhattan,10272,1
Manhattan,10112,1
Manhattan,10103,1
