Serial Number,License Type Code,ZIP,Georeference,BOROUGH
1304764,OP,10023,POINT (-73.979919 40.77789),Manhattan
1207611,RW,11222,POINT (-73.957924 40.731835),Brooklyn
1274632,RW,10031,POINT (-73.951985 40.819248),Manhattan
1304706,OP,10009,POINT (-73.982804 40.72287500000001),Manhattan
1306114,RW,10452,POINT (-73.918883 40.83855),Bronx
1308031,RW,11221,POINT (-73.92697 40.699111),Brooklyn
1267316,RW,10031,POINT (-73.947604 40.825239),Manhattan
1305178,OP,11233,POINT (-73.910753 40.678818),Brooklyn
1291155,EB,11237,POINT (-73.912644 40.7004),Brooklyn
1263760,OP,10019,POINT (-73.987475 40.765487),Manhattan
1312324,RW,10005,POINT (-74.00774 40.706208),Manhattan
1312900,RW,11220,POINT (-74.009075 40.635201),Brooklyn
1174917,OP,10036,POINT (-73.985694 40.756396),Manhattan
1024286,OP,10003,POINT (-73.987905 40.732305),Manhattan
1028405,RL,10013,POINT (-74.005052 40.720553),Manhattan
1282777,RW,11238,POINT (-73.957432 40.674321),Brooklyn
1210592,RW,10026,POINT (-73.948109 40.804302),Manhattan
1284313,RW,10036,POINT (-73.988615 40.758844),Manhattan
1299122,EB,10065,POINT (-73.959931 40.762408),Manhattan
1283400,RW,11211,POINT (-73.947583 40.711291),Brooklyn
1285582,OP,10465,POINT (-73.824552 40.828895),Bronx
1331874,OP,10308,POINT (-74.148441 40.53935400000001),Staten Is
1273490,WW,11207,POINT (-73.898005 40.676125),Brooklyn
1027233,OP,10023,POINT (-73.983325 40.777591),Manhattan
1294221,OP,11217,POINT (-73.97287 40.677743),Brooklyn
1277750,OP,10025,POINT (-73.970931 40.795647),Manhattan
1242679,OP,10012,POINT (-74.00072 40.727409),Manhattan
1323944,OP,10034,POINT (-73.93 40.867797),Manhattan
1291868,RW,11220,POINT (-74.006353 40.642025),Brooklyn
1326626,TW,10034,POINT (-73.920881 40.867169),Manhattan
1208308,OP,10040,POINT (-73.924943 40.861889),Manhattan
1189713,OP,10002,POINT (-73.990415 40.717733),Manhattan
1305332,RW,11215,POINT (-73.983393 40.677028),Brooklyn
1321942,OP,10306,POINT (-74.114304 40.572896),Staten Is
1283998,OP,10031,POINT (-73.950059 40.821878),Manhattan
1012083,OP,11215,POINT (-73.9794 40.657575),Brooklyn
1278526,OP,11237,POINT (-73.923895 40.706717),Brooklyn
