Serial Number,License Type Code,ZIP,Georeference,BOROUGH
1259098,EB,10004,,MANHATTAN
1170095,VL,11229,,BROOKLYN
1023396,HL,10019,,MANHATTAN
1304764,OP,10023,POINT (-73.979919 40.77789),MANHATTAN
1207611,RW,11222,POINT (-73.957924 40.731835),BROOKLYN
1274632,RW,10031,POINT (-73.951985 40.819248),MANHATTAN
1304706,OP,10009,POINT (-73.982804 40.72287500000001),MANHATTAN
1306114,RW,10452,POINT (-73.918883 40.83855),BRONX
1034276,VL,10010,,MANHATTAN
1292477,RW,10018,,MANHATTAN
1308031,RW,11221,POINT (-73.92697 40.699111),BROOKLYN
1267316,RW,10031,POINT (-73.947604 40.825239),MANHATTAN
1305178,OP,11233,POINT (-73.910753 40.678818),BROOKLYN
1291155,EB,11237,POINT (-73.912644 40.7004),BROOKLYN
1263760,OP,10019,POINT (-73.987475 40.765487),MANHATTAN
1311198,TW,10016,,MANHATTAN
1312324,RW,10005,POINT (-74.00774 40.706208),MANHATTAN
1312900,RW,11220,POINT (-74.009075 40.635201),BROOKLYN
1199931,EB,10001,,MANHATTAN
1311601,OP,10014,,MANHATTAN
1174917,OP,10036,POINT (-73.985694 40.756396),MANHATTAN
1011083,EB,11210,,BROOKLYN
1024286,OP,10003,POINT (-73.987905 40.732305),MANHATTAN
1028405,RL,10013,POINT (-74.005052 40.720553),MANHATTAN
1282777,RW,11238,POINT (-73.957432 40.674321),BROOKLYN
1332745,RW,11220,,BROOKLYN
1210592,RW,10026,POINT (-73.948109 40.804302),MANHATTAN
1284313,RW,10036,POINT (-73.988615 40.758844),MANHATTAN
1299122,EB,10065,POINT (-73.959931 40.762408),MANHATTAN
1173678,RW,10001,,MANHATTAN
1283400,RW,11211,POINT (-73.947583 40.711291),BROOKLYN
1285582,OP,10465,POINT (-73.824552 40.828895),BRONX
1331874,OP,10308,POINT (-74.148441 40.53935400000001),STATEN ISLAND
1273490,WW,11207,POINT (-73.898005 40.676125),BROOKLYN
1193666,OP,10003,,MANHATTAN
1027233,OP,10023,POINT (-73.983325 40.777591),MANHATTAN
1294221,OP,11217,POINT (-73.97287 40.677743),BROOKLYN
1277750,OP,10025,POINT (-73.970931 40.795647),MANHATTAN
1242679,OP,10012,POINT (-74.00072 40.727409),MANHATTAN
1323944,OP,10034,POINT (-73.93 40.867797),MANHATTAN
1291868,RW,11220,POINT (-74.006353 40.642025),BROOKLYN
1326626,TW,10034,POINT (-73.920881 40.867169),MANHATTAN
1208308,OP,10040,POINT (-73.924943 40.861889),MANHATTAN
1189713,OP,10002,POINT (-73.990415 40.717733),MANHATTAN
1305332,RW,11215,POINT (-73.983393 40.677028),BROOKLYN
1321942,OP,10306,POINT (-74.114304 40.572896),STATEN ISLAND
1319511,RW,10123,,MANHATTAN
1283998,OP,10031,POINT (-73.950059 40.821878),MANHATTAN
1012083,OP,11215,POINT (-73.9794 40.657575),BROOKLYN
1278526,OP,11237,POINT (-73.923895 40.706717),BROOKLYN
1275461,OP,11201,POINT (-73.987215 40.693850000000005),BROOKLYN
1272275,OP,10470,POINT (-73.867712 40.900388),BRONX
1305642,OP,10009,POINT (-73.977771 40.72557),MANHATTAN
1167493,OP,10036,POINT (-73.989157 40.756973),MANHATTAN
1288191,RW,10016,POINT (-73.98465 40.745421),MANHATTAN
1288135,RW,10019,POINT (-73.988783 40.763690000000004),MANHATTAN
1319295,RW,10029,POINT (-73.947166 40.791035),MANHATTAN
1272824,OP,10013,POINT (-74.009942 40.724127),MANHATTAN
1332471,SL,10038,POINT (-74.003368 40.706117),MANHATTAN
1293782,OP,11234,POINT (-73.927036 40.620392),BROOKLYN
1307305,RW,10001,POINT (-73.994869 40.745142),MANHATTAN
1290867,TW,11206,POINT (-73.939029 40.700983),BROOKLYN
1260271,OP,10301,POINT (-74.075593 40.639499),STATEN ISLAND
1269695,OP,10016,POINT (-73.980103 40.750668),MANHATTAN
1322829,RW,10013,POINT (-73.998865 40.715753),MANHATTAN
1290546,OP,10003,POINT (-73.988795 40.727038),MANHATTAN
1277353,OP,11220,POINT (-74.01272 40.631758),BROOKLYN
1274042,OP,10016,POINT (-73.975688 40.745093),MANHATTAN
1321441,OP,10001,POINT (-73.993484 40.747066),MANHATTAN
1286126,RW,10012,POINT (-74.000953 40.729442),MANHATTAN
1288306,TW,11222,POINT (-73.953826 40.729257),BROOKLYN
1166320,OP,10014,POINT (-74.003194 40.734223),MANHATTAN
1210974,RW,10009,,MANHATTAN
1043260,OP,10312,POINT (-74.16943 40.558932),STATEN ISLAND
1320078,RW,10019,POINT (-73.985143 40.764343),MANHATTAN
1307895,OP,11222,POINT (-73.95447 40.731473),BROOKLYN
1121225,OP,11229,POINT (-73.940623 40.60057100000001),BROOKLYN
1307952,OP,10001,POINT (-73.989958 40.744999),MANHATTAN
1289465,OP,10465,POINT (-73.83641500000002 40.823598),BRONX
1004279,RL,10463,POINT (-73.9013 40.884944),BRONX
1259395,OP,11231,POINT (-74.004463 40.681358),BROOKLYN
1279554,WW,10018,POINT (-73.985086 40.751143),MANHATTAN
1292466,RW,10003,POINT (-73.98796 40.732229),MANHATTAN
1316810,OP,11217,POINT (-73.981403 40.685597),BROOKLYN
1143935,RW,10016,POINT (-73.987397 40.74454),MANHATTAN
1172168,OP,11205,POINT (-73.9712 40.689886),BROOKLYN
1293861,RW,10003,POINT (-73.988689 40.72718),MANHATTAN
1258827,OP,10014,POINT (-73.999112 40.733407),MANHATTAN
1305668,OP,10016,POINT (-73.986669 40.744415),MANHATTAN
1292776,OP,10016,POINT (-73.979607 40.743665),MANHATTAN
1298063,OP,11232,POINT (-74.004854 40.650368),BROOKLYN
1319884,OP,10018,POINT (-73.994305 40.756117),MANHATTAN
1026928,OP,10022,POINT (-73.961499 40.759426),MANHATTAN
1258356,RW,11222,POINT (-73.95378200000002 40.729153),BROOKLYN
1318442,OP,10029,POINT (-73.94736 40.790773),MANHATTAN
1265787,OP,10003,POINT (-73.990626 40.736726),MANHATTAN
1106941,CL,11235,POINT (-73.930737 40.588245),BROOKLYN
1176192,OP,10034,POINT (-73.928298 40.86636),MANHATTAN
1321536,OP,10025,POINT (-73.9695 40.795253),MANHATTAN
1305162,OP,10022,,MANHATTAN
1275160,OP,10019,POINT (-73.98883300000001 40.763622),MANHATTAN
1297812,TW,10016,POINT (-73.975847 40.74886),MANHATTAN
1195124,OP,10011,POINT (-74.00073 40.746247),MANHATTAN
1301225,OP,10002,POINT (-73.991377 40.714744),MANHATTAN
1023243,EL,10036,POINT (-73.986328 40.759927),MANHATTAN
1261401,RW,10026,POINT (-73.948363 40.801465),MANHATTAN
1272599,OP,11211,POINT (-73.963877 40.718312),BROOKLYN
1148229,OP,10036,POINT (-73.990148 40.76073),MANHATTAN
1259552,OP,10022,POINT (-73.966338 40.757859),MANHATTAN
1288255,RW,10025,POINT (-73.961208 40.806622),MANHATTAN
1319617,OP,11215,POINT (-73.982719 40.665517),BROOKLYN
1306358,OP,11223,POINT (-73.962414 40.598172),BROOKLYN
1316140,OP,10468,POINT (-73.900492 40.868146),BRONX
1292490,RW,11232,POINT (-73.998385 40.646236),BROOKLYN
1323592,TW,11233,POINT (-73.929578 40.684141),BROOKLYN
1306825,OP,10002,POINT (-73.985461 40.717867),MANHATTAN
1256434,OP,10001,POINT (-73.985613 40.749751),MANHATTAN
1318177,RW,10019,,MANHATTAN
1276834,RW,10027,POINT (-73.956768 40.813869),MANHATTAN
1024986,OP,10011,POINT (-73.999768 40.731947),MANHATTAN
1319331,OP,10040,POINT (-73.926337 40.86346000000001),MANHATTAN
1102700,OP,10036,POINT (-73.988739 40.756800000000005),MANHATTAN
1230626,OP,10001,POINT (-73.986297 40.747486),MANHATTAN
1257632,OP,10467,POINT (-73.867352 40.867114),BRONX
1257143,OP,10002,POINT (-73.988736 40.722364),MANHATTAN
1260830,OP,10458,POINT (-73.886077 40.866132),BRONX
1293489,OP,10462,POINT (-73.850928 40.831436),BRONX
1286749,OP,10463,POINT (-73.89835 40.883728),BRONX
1291678,RW,10022,POINT (-73.969834 40.759953),MANHATTAN
1309187,RW,10002,POINT (-73.988592 40.719637),MANHATTAN
1323616,OP,11223,POINT (-73.980232 40.605191),BROOKLYN
1277562,RW,11238,POINT (-73.957 40.674231),BROOKLYN
1194432,OP,10308,POINT (-74.148279 40.53970100000001),STATEN ISLAND
1167055,RW,11237,POINT (-73.915935 40.702253),BROOKLYN
1319969,OP,10034,POINT (-73.920621 40.866764),MANHATTAN
1313697,ZT,10036,,MANHATTAN
1251810,OP,10475,POINT (-73.827647 40.882326),BRONX
1319672,HL,11211,POINT (-73.95236 40.714064),BROOKLYN
1289863,RW,10012,POINT (-73.995531 40.721422),MANHATTAN
1273517,OP,11237,POINT (-73.92034000000001 40.704995),BROOKLYN
1323774,OP,10016,POINT (-73.981632 40.740904),MANHATTAN
1272569,RW,11222,POINT (-73.953729 40.730254),BROOKLYN
1317548,HL,10001,POINT (-73.998824 40.75445),MANHATTAN
1122289,OP,10003,POINT (-73.984458 40.729567),MANHATTAN
1174819,OP,11209,POINT (-74.024701 40.624437),BROOKLYN
1026031,OP,10017,POINT (-73.973775 40.750478),MANHATTAN
1027749,OP,10036,POINT (-73.988687 40.760109),MANHATTAN
1321274,HL,11217,POINT (-73.982521 40.687596),BROOKLYN
1201758,OP,10025,POINT (-73.965347 40.800956),MANHATTAN
1164833,OP,10034,POINT (-73.925021 40.862013),MANHATTAN
1321032,RW,10019,POINT (-73.982801 40.76347),MANHATTAN
1149732,OP,11201,POINT (-73.989271 40.702509),BROOKLYN
1247487,RW,11217,POINT (-73.974381 40.679822),BROOKLYN
1283841,RW,11211,POINT (-73.959399 40.71372),BROOKLYN
1147010,OP,10010,POINT (-73.99276 40.741204),MANHATTAN
1125334,OP,10001,POINT (-74.001122 40.746415),MANHATTAN
1024671,OP,10009,POINT (-73.985832 40.722898),MANHATTAN
1324554,RW,10003,POINT (-73.986273 40.732906),MANHATTAN
1290379,RW,10002,POINT (-73.987459 40.719997),MANHATTAN
1272679,OP,10011,POINT (-73.997397 40.736583),MANHATTAN
1321047,OP,10029,POINT (-73.935525 40.795864),MANHATTAN
1226010,OP,10014,POINT (-74.002123 40.732847),MANHATTAN
1321187,OP,10462,POINT (-73.861599 40.846163),BRONX
1290752,OP,10455,POINT (-73.919716 40.814367),BRONX
1322280,OP,11207,POINT (-73.915016 40.68548700000001),BROOKLYN
1306444,OP,10460,POINT (-73.88324 40.845393),BRONX
1256050,OP,10004,,MANHATTAN
1293250,OP,11217,POINT (-73.979212 40.688222),BROOKLYN
1256367,OP,11206,POINT (-73.939923 40.708226),BROOKLYN
1028139,OP,10022,POINT (-73.970849 40.758297),MANHATTAN
1268280,OP,10016,POINT (-73.973422 40.748151),MANHATTAN
1286106,HW,11217,POINT (-73.981765 40.687394),BROOKLYN
1189389,HL,10013,POINT (-74.010178 40.719881),MANHATTAN
1305143,RW,10065,POINT (-73.963219 40.762142),MANHATTAN
1012184,OP,11220,POINT (-74.02569800000002 40.636584),BROOKLYN
1318798,OP,11201,POINT (-73.995823 40.690644000000006),BROOKLYN
1232357,OP,10019,POINT (-73.983299 40.764367),MANHATTAN
1303332,OP,10024,POINT (-73.974332 40.788627),MANHATTAN
1028497,RL,10019,POINT (-73.985369 40.768391),MANHATTAN
1305072,OP,10014,POINT (-74.001881 40.737869),MANHATTAN
1248766,OP,11211,POINT (-73.965375 40.716915),BROOKLYN
1134173,RW,10023,POINT (-73.981276 40.78071),MANHATTAN
1321834,OP,10022,POINT (-73.967534 40.756912),MANHATTAN
1317713,TW,10001,POINT (-73.992972 40.74546),MANHATTAN
1288533,OP,10006,POINT (-74.014234 40.708624),MANHATTAN
1290774,OP,10128,POINT (-73.956668 40.783792000000005),MANHATTAN
1173281,OP,10309,POINT (-74.226124 40.529355),STATEN ISLAND
1287234,TW,10002,POINT (-73.98432300000002 40.720522),MANHATTAN
1264932,OP,10312,POINT (-74.169758 40.574511),STATEN ISLAND
1126378,OP,10314,POINT (-74.159555 40.611493),STATEN ISLAND
1319862,RW,10453,POINT (-73.911465 40.854631),BRONX
1306650,OP,10028,POINT (-73.953362 40.775651),MANHATTAN
1275322,OP,10018,POINT (-73.990223 40.754128),MANHATTAN
1223895,OP,10016,POINT (-73.98220000000002 40.742991),MANHATTAN
1274868,OP,10023,,MANHATTAN
1199615,OP,11211,POINT (-73.962627 40.710025),BROOKLYN
1123181,OP,10011,POINT (-73.997263 40.741866),MANHATTAN
1145745,OP,11201,POINT (-73.993892 40.686531),BROOKLYN
1196589,OP,10022,POINT (-73.975642 40.759516),MANHATTAN
1304305,TW,10031,POINT (-73.944675 40.829254),MANHATTAN
