STATION,TOTAL_ENTRIES,ZIP,BOROUGH,the_geom
1 AV,523393.0,10009,Manhattan,POINT (-73.98168087489128 40.73097497580066)
103 ST,729131.0,10029,Manhattan,POINT (-73.94747800152219 40.79060000008452)
110 ST,263951.0,10029,Manhattan,POINT (-73.94424999687163 40.795020000113105)
116 ST,785669.0,10029,Manhattan,POINT (-73.9416169983714 40.7986290002001)
116 ST-COLUMBIA,179624.0,10027,Manhattan,POINT (-73.96410999757751 40.807722001230864)
125 ST,1850635.0,10035,Manhattan,POINT (-73.93759400055725 40.804138000587244)
135 ST,446917.0,10037,Manhattan,POINT (-73.94753480879213 40.817905559212676)
137 ST CITY COL,302516.0,10031,Manhattan,POINT (-73.95367600087873 40.82200799968475)
14 ST,1179308.5,10011,Manhattan,POINT (-74.00168999937027 40.740893000193296)
145 ST,899821.5,10031,Manhattan,POINT (-73.94408792823116 40.824766360871905)
14TH ST,222551.5,10011,Manhattan,
15 ST-PROSPECT,132842.0,11215,Brooklyn,POINT (-73.97973580592873 40.66003568810021)
155 ST,165786.0,10039,Manhattan,POINT (-73.94151400082208 40.83051799929251)
157 ST,295746.0,10032,Manhattan,POINT (-73.94488999901047 40.8340410001399)
163 ST-AMSTERDM,111555.0,10032,Manhattan,POINT (-73.93989200188344 40.83601299923096)
168 ST,554349.0,10032,Manhattan,POINT (-73.94013299907257 40.840555999148535)
175 ST,321837.0,10033,Manhattan,POINT (-73.93970399761596 40.84739100072403)
18 AV,400945.0,11204,Brooklyn,POINT (-74.00159259239406 40.60773573171741)
18 ST,135665.0,10011,Manhattan,POINT (-73.99787100060406 40.741039999802105)
181 ST,323780.0,10033,Manhattan,POINT (-73.93796900205011 40.851694999744616)
190 ST,74654.0,10040,Manhattan,POINT (-73.93417999964333 40.85902199892482)
191 ST,242401.0,10040,Manhattan,POINT (-73.92941199742039 40.85522500175836)
2 AV,401925.0,10003,Manhattan,POINT (-73.99066976901818 40.73476331217923)
2 AV,401925.0,10003,Manhattan,
207 ST,178552.0,10034,Manhattan,POINT (-73.91881900132312 40.864614000525854)
215 ST,44075.0,10034,Manhattan,POINT (-73.91527899954356 40.86944399946045)
23 ST,1929437.0,10010,Manhattan,POINT (-73.99804100117201 40.74590599939995)
25 AV,114531.0,11214,Brooklyn,POINT (-73.98682900011477 40.59770366695856)
25 ST,102236.0,11232,Brooklyn,POINT (-73.99809099974297 40.66039666692321)
28 ST,794030.0,10001,Manhattan,POINT (-73.98426400110407 40.743069999259035)
3 AV,148651.0,10003,Manhattan,POINT (-73.98575000112093 40.73269099971662)
33 ST,489228.0,10001,Manhattan,POINT (-73.93099699953838 40.74458699983993)
34 ST-HUDSON YD,441652.0,10001,Manhattan,POINT (-74.00219709442206 40.75544635961596)
34 ST-PENN STA,2954475.5,10119,Manhattan,POINT (-73.99339099970578 40.752287000775894)
36 ST,463087.0,11232,Brooklyn,POINT (-74.00354899951809 40.65514366633887)
4 AV-9 ST,91779.0,11215,Brooklyn,POINT (-73.98830199974512 40.670846666842756)
42 ST-BRYANT PK,587782.0,10036,Manhattan,POINT (-73.98459099904711 40.754184001312545)
42 ST-PORT AUTH,2016799.0,10018,Manhattan,POINT (-73.98973500085859 40.757307998551504)
45 ST,220955.0,11220,Brooklyn,POINT (-74.01000600074939 40.648938666612814)
47-50 STS ROCK,780991.0,10020,Manhattan,
49 ST,387887.0,10020,Manhattan,POINT (-73.98420956591096 40.759801973870694)
4AV-9 ST,203059.0,11215,Brooklyn,
5 AV/53 ST,300842.0,10022,Manhattan,POINT (-73.9752485052734 40.76008683231326)
5 AV/59 ST,339285.0,10019,Manhattan,POINT (-73.97334700047045 40.764510999755284)
50 ST,842225.0,10019,Manhattan,POINT (-73.98598400026407 40.76245599925997)
51 ST,268208.5,10022,Manhattan,POINT (-73.97192000069982 40.75710699989316)
53 ST,255647.0,11220,Brooklyn,POINT (-74.01403399986317 40.64506866735981)
55 ST,50531.0,11219,Brooklyn,POINT (-73.99534882595742 40.63147876093745)
57 ST,269761.0,10019,Manhattan,POINT (-73.98072973372128 40.76456552501829)
57 ST-7 AV,601278.0,10106,Manhattan,
59 ST,1411185.0,10065,Manhattan,POINT (-74.01788099953987 40.6413616662838)
59 ST COLUMBUS,1213131.0,10023,Manhattan,POINT (-73.98164872301398 40.768249531776064)
6 AV,122427.0,10011,Manhattan,POINT (-73.99775078874781 40.73774146981052)
66 ST-LINCOLN,318953.0,10023,Manhattan,POINT (-73.98220899995783 40.77344000052039)
68ST-HUNTER CO,373409.0,10021,Manhattan,POINT (-73.96387000158042 40.76814100049679)
7 AV,723238.0,10019,Manhattan,POINT (-73.98169782344476 40.76297015245628)
71 ST,124611.5,11228,Brooklyn,POINT (-73.99884094850685 40.61925870977273)
72 ST,1086712.5,10023,Manhattan,POINT (-73.95836178682246 40.76880251014895)
77 ST,710412.0,10075,Manhattan,POINT (-74.0255099996266 40.629741666886915)
79 ST,486837.0,10024,Manhattan,POINT (-74.00058287431507 40.61315892569516)
8 ST-NYU,275196.0,10003,Manhattan,POINT (-73.99250799849149 40.73046499853991)
81 ST-MUSEUM,367561.0,10024,Manhattan,POINT (-73.97209794937208 40.78134608418206)
86 ST,1962616.0,10028,Manhattan,POINT (-73.95177090964917 40.77786104333163)
96 ST,1378313.0,10025,Manhattan,POINT (-73.9470660219183 40.784236650177654)
9TH ST,135989.0,10011,Manhattan,
ALABAMA AV,61392.0,11207,Brooklyn,POINT (-73.89852600159652 40.676998000003756)
ASTOR PL,284472.0,10003,Manhattan,POINT (-73.99106999861966 40.73005400028978)
ATL AV-BARCLAY,980832.0,11217,Brooklyn,POINT (-73.97880999956767 40.683665667279435)
ATLANTIC AV,43291.0,11207,Brooklyn,POINT (-73.9030969995401 40.67534466640805)
AVNUE H,64692.0,11230,Brooklyn,POINT (-73.96151793942495 40.62920837758969)
AVNUE I,38298.0,11230,Brooklyn,POINT (-73.97606933170925 40.62501744019143)
AVNUE J,147808.0,11230,Brooklyn,POINT (-73.96069316246925 40.625022819915166)
AVNUE M,138346.0,11230,Brooklyn,POINT (-73.9592431052215 40.617397744443736)
AVNUE N,57846.0,11230,Brooklyn,POINT (-73.97404850873143 40.61435671190883)
AVNUE P,50148.0,11230,Brooklyn,POINT (-73.97300281528751 40.608842808949916)
AVNUE U,359022.0,11229,Brooklyn,POINT (-73.97908400099428 40.597235999920436)
AVNUE X,52450.0,11223,Brooklyn,POINT (-73.97426599968905 40.589449666625285)
B'WAY-LAFAYETTE,449347.0,10012,Manhattan,
BAY 50 ST,64575.0,11214,Brooklyn,POINT (-73.98376500045946 40.58884066651933)
BAY PKWY,451564.0,11214,Brooklyn,POINT (-73.98178001069293 40.61145578989005)
BAY RIDGE AV,198369.0,11220,Brooklyn,POINT (-74.02337699950728 40.63496666682377)
BEDFORD AV,567237.0,11211,Brooklyn,POINT (-73.95666499806525 40.71717399858899)
BEDFORD-NOSTRAN,210084.0,11205,Brooklyn,POINT (-73.95352200064022 40.68962700158444)
BERGEN ST,314171.0,11201,Brooklyn,POINT (-73.99075649573565 40.68611054725977)
BEVERLEY ROAD,91427.0,11226,Brooklyn,
BEVERLY RD,113732.0,11226,Brooklyn,POINT (-73.94884798381702 40.64512351894373)
BLEECKER ST,305176.5,10012,Manhattan,POINT (-73.99465900006331 40.72591466682659)
BOROUGH HALL,529653.0,11201,Brooklyn,POINT (-73.98999799960687 40.693218999611084)
BOTANIC GARDEN,32494.0,11225,Brooklyn,POINT (-73.95924499945693 40.670342666584396)
BOWERY,86931.0,10002,Manhattan,POINT (-73.99380690654237 40.720246883147254)
BOWLING GREEN,450136.5,10004,Manhattan,POINT (-74.01400799803432 40.70491399928076)
BRIGHTON BEACH,349078.0,11235,Brooklyn,POINT (-73.96135378598797 40.577710196642435)
BROAD ST,101702.0,10005,Manhattan,POINT (-74.01105599991755 40.706476001106005)
BROOKLYN BRIDGE,283838.0,10007,Manhattan,POINT (-74.0041310005885 40.713064999433136)
BUSHWICK AV,66462.0,11207,Brooklyn,POINT (-73.90526176305106 40.68286062551184)
CANAL ST,1477514.0,10013,Manhattan,POINT (-74.00105471306033 40.718814263587134)
CANARSIE-ROCKAW,198384.0,11236,Brooklyn,POINT (-73.90185000017287 40.64665366739528)
CARROLL ST,226383.0,11231,Brooklyn,POINT (-73.99494697998841 40.68027335170176)
CATHEDRAL PKWY,456009.0,10025,Manhattan,POINT (-73.9668470005456 40.80396699961484)
CENTRAL AV,85187.0,11221,Brooklyn,POINT (-73.92724299902838 40.69787300011831)
CENTRAL PK N110,190922.0,10026,Manhattan,POINT (-73.95182200176913 40.79907499977324)
CHAMBERS ST,758808.0,10013,Manhattan,POINT (-74.00340673031336 40.71323378962671)
CHAUNCEY ST,86621.0,11207,Brooklyn,POINT (-73.91038357033376 40.68285130087804)
CHRISTOPHER ST,382331.0,10014,Manhattan,POINT (-74.00290599855235 40.73342200104225)
CHURCH AV,964092.0,11218,Brooklyn,POINT (-73.94945514035334 40.6508606878022)
CITY / BUS,368507.5,10018,Manhattan,
CITY HALL,92842.0,10007,Manhattan,POINT (-74.00698581780337 40.71327233111697)
CLARK ST,135362.0,11201,Brooklyn,POINT (-73.99308599821961 40.69746599996469)
CLASSON AV,131781.0,11238,Brooklyn,POINT (-73.95999000137212 40.68888900026455)
CLEVELAND ST,68797.0,11208,Brooklyn,POINT (-73.8851940021643 40.679777998961164)
CLINTON-WASH AV,230581.0,11205,Brooklyn,POINT (-73.96583799857275 40.68326299912644)
CONEY IS-STILLW,567799.0,11224,Brooklyn,POINT (-73.9812359981396 40.57728100006751)
CORTELYOU RD,167191.0,11226,Brooklyn,POINT (-73.96379005505493 40.6409401651401)
CORTLANDT ST,352765.0,10007,Manhattan,POINT (-74.01113196473266 40.7105129841524)
CRESCENT ST,128629.0,11208,Brooklyn,POINT (-73.87392925215778 40.68315265707736)
CROWN HTS-UTICA,653172.0,11213,Brooklyn,POINT (-73.93293256081851 40.66897831107809)
CYPRESS HILLS,35479.0,11208,Brooklyn,POINT (-73.87332199882995 40.689616000838754)
DEKALB AV,737000.0,11201,Brooklyn,POINT (-73.98177094440949 40.690648119969794)
DELANCEY/ESSEX,657845.0,10002,Manhattan,POINT (-73.98807806807719 40.71868074219453)
DITMAS AV,85298.0,11218,Brooklyn,POINT (-73.97817199965161 40.63611866666291)
DYCKMAN ST,378321.0,10040,Manhattan,POINT (-73.92727099960726 40.865490998968916)
EAST 105 ST,71311.0,11236,Brooklyn,POINT (-73.89954769388724 40.65046878544699)
EAST BROADWAY,338428.0,10002,Manhattan,POINT (-73.99017700122197 40.713855001020406)
EASTN PKWY-MUSM,114279.0,11238,Brooklyn,POINT (-73.96422203748425 40.67203223545925)
EUCLID AV,254941.0,11208,Brooklyn,POINT (-73.87210600099675 40.675376998239365)
FLATBUSH AV-B.C,441159.0,11210,Brooklyn,POINT (-73.94754120734406 40.63284240700742)
FLUSHING AV,292839.0,11206,Brooklyn,POINT (-73.94137734838365 40.70040440298112)
FRANKLIN AV,442938.0,11225,Brooklyn,POINT (-73.95684800014614 40.68137966658742)
FRANKLIN ST,83064.0,10013,Manhattan,POINT (-74.00688600277107 40.719318001302135)
FT HAMILTON PKY,403915.0,11219,Brooklyn,POINT (-73.9942022375285 40.640912711444656)
FULTON ST,1575523.5,10038,Manhattan,POINT (-74.00950899856461 40.710367998822136)
GATES AV,167963.0,11221,Brooklyn,POINT (-73.92215600150752 40.689583999013905)
GRAHAM AV,208441.0,11211,Brooklyn,POINT (-73.94394399869037 40.714575998363635)
GRAND ARMY PLAZ,151206.0,11217,Brooklyn,POINT (-73.9709563319228 40.6752946951032)
GRAND ST,785540.0,10002,Manhattan,POINT (-73.99375299913589 40.71826699954992)
GRANT AV,141117.0,11208,Brooklyn,POINT (-73.86504999877702 40.67704400054478)
GRD CNTRL-42 ST,1666345.0,10018,Manhattan,POINT (-73.97604100111508 40.751431000286864)
GREENPOINT AV,245153.0,11222,Brooklyn,POINT (-73.95442500146235 40.73126699971465)
HALSEY ST,346791.0,11237,Brooklyn,POINT (-73.90393400118631 40.69551800114878)
HARLEM 148 ST,91369.0,10039,Manhattan,POINT (-73.93647000005559 40.82388000080457)
HEWES ST,76148.0,11211,Brooklyn,POINT (-73.95348800038457 40.706889998054)
HIGH ST,194883.0,11201,Brooklyn,POINT (-73.99053100065458 40.69933699977884)
HOUSTON ST,211876.0,10014,Manhattan,POINT (-74.00536700180581 40.728251000730204)
HOYT ST,173130.0,11201,Brooklyn,POINT (-73.98506379575646 40.69054418535472)
HOYT-SCHER,249510.0,11201,Brooklyn,
INWOOD-207 ST,238030.0,10034,Manhattan,POINT (-73.91989900100465 40.86807199999737)
JAY ST-METROTEC,663851.0,11201,Brooklyn,POINT (-73.98605667854612 40.69225539645323)
JEFFERSON ST,202412.0,11237,Brooklyn,POINT (-73.9229130000312 40.706606665988716)
JUNIUS ST,59790.0,11212,Brooklyn,POINT (-73.90244864183562 40.66358900181724)
KINGS HWY,724435.5,11229,Brooklyn,POINT (-73.98037300229343 40.60405899980493)
KINGSTON AV,115363.0,11213,Brooklyn,POINT (-73.94215978392963 40.66948144864978)
KINGSTON-THROOP,129860.0,11216,Brooklyn,POINT (-73.94085899871263 40.67991899941601)
KNICKERBOCKER,98812.0,10002,Manhattan,POINT (-73.91972000188625 40.69866000123805)
KOSCIUSZKO ST,134557.0,11221,Brooklyn,POINT (-73.92850899927413 40.69317200129202)
LAFAYETTE AV,97462.0,11238,Brooklyn,POINT (-73.97394599849406 40.68611300020567)
LEXINGTON AV/53,563820.0,10022,Manhattan,POINT (-73.96907237490204 40.75746830782865)
LEXINGTON AV/63,429956.0,10065,Manhattan,POINT (-73.96608964413245 40.76461809442373)
LIBERTY AV,63921.0,11207,Brooklyn,POINT (-73.89654800103929 40.67454199987086)
LIVONIA AV,55036.0,11212,Brooklyn,POINT (-73.90056237226057 40.66405727094644)
LORIMER ST,224115.0,11211,Brooklyn,POINT (-73.95024799996972 40.71407200064717)
MARBLE HILL-225,137480.0,10034,Manhattan,POINT (-73.90983099923551 40.87456099941789)
MARCY AV,265588.0,11211,Brooklyn,POINT (-73.95783200075729 40.708383000017925)
METROPOLITAN AV,341081.0,11211,Brooklyn,POINT (-73.9514239994525 40.71277400073426)
MONTROSE AV,179665.0,11206,Brooklyn,POINT (-73.93979284713505 40.70739106438455)
MORGAN AV,174482.0,11237,Brooklyn,POINT (-73.93314700024209 40.70615166680729)
MYRTLE AV,255463.0,11206,Brooklyn,POINT (-73.9356230012996 40.6971950005145)
MYRTLE-WILLOUGH,143670.0,11206,Brooklyn,POINT (-73.94906699890156 40.69461899903765)
MYRTLE-WYCKOFF,535197.0,11237,Brooklyn,POINT (-73.91217899939602 40.69945400090837)
NECK RD,109739.0,11229,Brooklyn,POINT (-73.95507827493762 40.59532169111695)
NEPTUNE AV,28517.0,11224,Brooklyn,POINT (-73.97459272818807 40.580738758491464)
NEVINS ST,207362.0,11217,Brooklyn,POINT (-73.98040679874578 40.68831058019022)
NEW LOTS,104950.0,11207,Brooklyn,
NEW LOTS AV,148206.0,11207,Brooklyn,POINT (-73.89927796057142 40.65891477368527)
NEW UTRECHT AV,156601.0,11219,Brooklyn,POINT (-73.99635300025969 40.62484166725887)
NEWARK HM HE,77163.5,10119,Manhattan,
NEWARK HW BMEBE,67727.0,10019,Manhattan,
NEWKIRK AV,190961.0,11226,Brooklyn,POINT (-73.94829990822407 40.63999124275311)
NEWKIRK PLAZA,277775.0,11226,Brooklyn,
NORWOOD AV,73487.0,11208,Brooklyn,POINT (-73.87962599910783 40.68152000045683)
NOSTRAND AV,479868.0,11216,Brooklyn,POINT (-73.9504262489579 40.66993815093054)
OCEAN PKWY,102771.0,11235,Brooklyn,POINT (-73.96850099975177 40.57631166708091)
PARK PLACE,77833.0,10007,Manhattan,POINT (-74.00881099997359 40.713050999077694)
PARKSIDE AV,180828.0,11226,Brooklyn,POINT (-73.96145343987648 40.65507304163716)
PATH WTC 2,105874.0,10007,Manhattan,
PRESIDENT ST,78462.0,11225,Brooklyn,POINT (-73.95058920022207 40.667883603536815)
PRINCE ST,290325.0,10012,Manhattan,POINT (-73.99770200045987 40.72432866597571)
PROSPECT PARK,276419.0,11238,Brooklyn,POINT (-73.96203130426609 40.6616334551018)
RALPH AV,136312.0,11233,Brooklyn,POINT (-73.92078599933306 40.678822000873375)
RECTOR ST,232479.0,10006,Manhattan,POINT (-74.01378300119742 40.707512999521775)
RIT-MANHATTAN,185117.0,10119,Manhattan,
RIT-ROOSEVELT,169258.0,10016,Manhattan,POINT (-73.95323499978866 40.75917199967108)
ROCKAWAY AV,247889.0,11233,Brooklyn,POINT (-73.90895833584449 40.66261748815223)
ROOSEVELT ISLND,212869.0,10022,Manhattan,
SHEEPSHEAD BAY,319928.0,11235,Brooklyn,POINT (-73.95405791257907 40.58654754707536)
SHEPHERD AV,77679.0,11208,Brooklyn,POINT (-73.88074999747269 40.6741300014559)
SMITH-9 ST,109512.0,11231,Brooklyn,POINT (-73.99589172790934 40.67364106090412)
SOUTH FERRY,323883.0,10004,Manhattan,POINT (-74.01316895919258 40.701730507574474)
SPRING ST,476475.0,10012,Manhattan,POINT (-73.99714100006673 40.72230099999366)
STERLING ST,145758.0,11225,Brooklyn,POINT (-73.95072891124937 40.6627729934283)
SUTTER AV,85142.0,11207,Brooklyn,POINT (-73.9019160004208 40.66914500061398)
SUTTER AV-RUTLD,167610.0,11212,Brooklyn,POINT (-73.92252118536001 40.66476678877493)
THIRTY ST,251059.0,10001,Manhattan,
THIRTY THIRD ST,438641.0,10001,Manhattan,
TIMES SQ-42 ST,1631130.0,10018,Manhattan,POINT (-73.98749500051885 40.75528999995681)
TWENTY THIRD ST,171118.0,10011,Manhattan,
UNION ST,165556.0,11215,Brooklyn,POINT (-73.98310999909673 40.67731566735096)
UTICA AV,344784.0,11233,Brooklyn,POINT (-73.93072899914027 40.67936399950546)
