,STATION,WEEK,WEEKEND_ENTRIES
0,14 ST-UNION SQ,22,137186.0
1,14 ST-UNION SQ,23,147361.0
2,14 ST-UNION SQ,24,150242.0
3,14 ST-UNION SQ,25,153665.0
4,14 ST-UNION SQ,26,129613.0
5,14 ST-UNION SQ,27,136383.0
6,14 ST-UNION SQ,28,140008.0
7,14 ST-UNION SQ,29,143610.0
8,14 ST-UNION SQ,30,138509.0
9,14 ST-UNION SQ,31,141515.0
10,14 ST-UNION SQ,32,139714.0
11,14 ST-UNION SQ,33,131100.0
12,14 ST-UNION SQ,34,141586.0
13,15 ST-PROSPECT,22,11138.0
14,15 ST-PROSPECT,23,11880.0
15,15 ST-PROSPECT,24,11671.0
16,15 ST-PROSPECT,25,11493.0
17,15 ST-PROSPECT,26,8843.0
18,15 ST-PROSPECT,27,9614.0
19,15 ST-PROSPECT,28,10329.0
20,15 ST-PROSPECT,29,10360.0
21,15 ST-PROSPECT,30,10474.0
22,15 ST-PROSPECT,31,9696.0
23,15 ST-PROSPECT,32,9699.0
24,15 ST-PROSPECT,33,8703.0
25,15 ST-PROSPECT,34,8942.0
26,2 AV,22,29950.0
27,2 AV,23,31295.0
28,2 AV,24,33832.0
29,2 AV,25,34897.0
30,2 AV,26,30635.0
31,2 AV,27,31846.0
32,2 AV,28,33877.0
33,2 AV,29,33594.0
34,2 AV,30,33034.0
35,2 AV,31,26876.0
36,2 AV,32,25992.0
37,2 AV,33,26463.0
38,2 AV,34,29634.0
39,3 AV,22,11219.0
40,3 AV,23,11726.0
41,3 AV,24,12074.0
42,3 AV,25,12251.0
43,3 AV,26,10908.0
44,3 AV,27,11781.0
45,3 AV,28,11323.0
46,3 AV,29,11567.0
47,3 AV,30,11269.0
48,3 AV,31,11438.0
49,3 AV,32,11173.0
50,3 AV,33,10376.0
51,3 AV,34,11546.0
52,4 AV-9 ST,22,7236.0
53,4 AV-9 ST,23,8034.0
54,4 AV-9 ST,24,7659.0
55,4 AV-9 ST,25,8004.0
56,4 AV-9 ST,26,6798.0
57,4 AV-9 ST,27,6978.0
58,4 AV-9 ST,28,7130.0
59,4 AV-9 ST,29,7136.0
60,4 AV-9 ST,30,7034.0
61,4 AV-9 ST,31,6830.0
62,4 AV-9 ST,32,6562.0
63,4 AV-9 ST,33,6069.0
64,4 AV-9 ST,34,6309.0
65,42 ST-BRYANT PK,22,42416.0
66,42 ST-BRYANT PK,23,47355.0
67,42 ST-BRYANT PK,24,46698.0
68,42 ST-BRYANT PK,25,48860.0
69,42 ST-BRYANT PK,26,38329.0
70,42 ST-BRYANT PK,27,43423.0
71,42 ST-BRYANT PK,28,46864.0
72,42 ST-BRYANT PK,29,47550.0
73,42 ST-BRYANT PK,30,45051.0
74,42 ST-BRYANT PK,31,46573.0
75,42 ST-BRYANT PK,32,44335.0
76,42 ST-BRYANT PK,33,43896.0
77,42 ST-BRYANT PK,34,46432.0
78,4AV-9 ST,22,15688.0
79,4AV-9 ST,23,17106.0
80,4AV-9 ST,24,16468.0
81,4AV-9 ST,25,16473.0
82,4AV-9 ST,26,13998.0
83,4AV-9 ST,27,15400.0
84,4AV-9 ST,28,15890.0
85,4AV-9 ST,29,16118.0
86,4AV-9 ST,30,16081.0
87,4AV-9 ST,31,16039.0
88,4AV-9 ST,32,15245.0
89,4AV-9 ST,33,14033.0
90,4AV-9 ST,34,14520.0
91,5 AV/59 ST,22,24203.0
92,5 AV/59 ST,23,25021.0
93,5 AV/59 ST,24,26704.0
94,5 AV/59 ST,25,27052.0
95,5 AV/59 ST,26,24350.0
96,5 AV/59 ST,27,26842.0
97,5 AV/59 ST,28,26829.0
98,5 AV/59 ST,29,29632.0
99,5 AV/59 ST,30,27633.0
100,5 AV/59 ST,31,26720.0
101,5 AV/59 ST,32,25901.0
102,5 AV/59 ST,33,23921.0
103,5 AV/59 ST,34,24477.0
104,50 ST,22,56209.0
105,50 ST,23,61365.0
106,50 ST,24,66834.0
107,50 ST,25,71503.0
108,50 ST,26,63831.0
109,50 ST,27,66566.0
110,50 ST,28,67628.0
111,50 ST,29,69350.0
112,50 ST,30,69646.0
113,50 ST,31,68346.0
114,50 ST,32,66922.0
